log_id,maintenance_date,work_description,cost,drone_id
10041,2024-10-04,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,875.7,428
10042,2025-09-28,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,367.86,463
10043,2026-01-25,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,723.82,240
10044,2025-06-17,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,728.96,597
10045,2024-10-03,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,889.05,267
10046,2025-01-12,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,280.3,125
10047,2025-10-11,Thermal camera sensor recalibration and firmware patch application.,805.58,181
10048,2023-05-04,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,753.28,417
10049,2024-12-11,Installed new vibration dampening mounts on the camera gimbal payload.,141.73,281
10050,2025-06-25,Installed new vibration dampening mounts on the camera gimbal payload.,406.82,207
10051,2025-10-03,Replaced main battery connector due to pin corrosion and tested power draw under load.,994.9,173
10052,2025-05-17,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,556.92,526
10053,2026-04-05,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,750.51,228
10054,2025-06-04,Installed new vibration dampening mounts on the camera gimbal payload.,750.23,184
10055,2026-03-26,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,260.03,218
10056,2025-09-03,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,813.1,525
10057,2024-05-19,Installed new vibration dampening mounts on the camera gimbal payload.,867.05,158
10058,2025-10-09,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,562.82,309
10059,2025-11-24,Replaced main battery connector due to pin corrosion and tested power draw under load.,726.4,148
10060,2026-01-02,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,253.96,563
10061,2026-02-12,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,209.5,295
10062,2025-10-10,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,927.92,198
10063,2026-03-19,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,794.47,180
10064,2024-02-11,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,493.74,543
10065,2025-12-21,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,753.71,494
10066,2026-01-30,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,642.84,238
10067,2024-04-05,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,750.07,179
10068,2025-02-25,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,542.1,575
10069,2025-12-21,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,294.91,533
10070,2025-12-16,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,943.26,131
10071,2025-12-02,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,809.75,191
10072,2025-02-07,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,543.6,402
10073,2024-07-25,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,419.22,141
10074,2025-07-18,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,765.37,447
10075,2023-06-19,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,766.37,210
10076,2026-01-30,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,868.96,244
10077,2025-03-11,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,969.78,527
10078,2025-08-06,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,823.85,120
10079,2025-05-25,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,915.27,483
10080,2024-05-02,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,105.67,175
10081,2024-02-11,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,161.82,416
10082,2025-12-08,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,863.59,185
10083,2024-09-25,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,453.9,270
10084,2024-03-25,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,680.85,525
10085,2024-10-16,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,425.39,227
10086,2023-10-10,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,201.27,296
10087,2025-12-14,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,541.42,570
10088,2025-07-07,Thermal camera sensor recalibration and firmware patch application.,523.64,582
10089,2025-07-29,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,447.75,248
10090,2024-09-15,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,464.53,114
10091,2024-08-02,Installed new vibration dampening mounts on the camera gimbal payload.,676.37,203
10092,2024-10-05,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,510.77,215
10093,2025-09-08,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,348.78,424
10094,2025-05-14,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,999.72,306
10095,2024-12-09,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,320.17,168
10096,2025-04-26,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,562.34,416
10097,2025-05-21,Replaced main battery connector due to pin corrosion and tested power draw under load.,721.01,581
10098,2026-01-15,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,237.37,183
10099,2024-08-22,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,944.0,210
10100,2024-07-06,Thermal camera sensor recalibration and firmware patch application.,520.66,402
10101,2024-09-15,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,818.72,549
10102,2025-04-23,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,672.7,145
10103,2025-05-27,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,187.1,234
10104,2026-04-08,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,194.15,535
10105,2024-11-24,Installed new vibration dampening mounts on the camera gimbal payload.,329.38,347
10106,2024-11-17,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,861.66,461
10107,2024-07-25,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,366.16,9
10108,2024-02-15,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,789.01,473
10109,2026-03-14,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,100.03,516
10110,2023-04-11,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,803.33,393
10111,2026-01-03,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,358.75,587
10112,2024-09-13,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,195.69,541
10113,2024-11-27,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,901.43,481
10114,2026-04-09,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,570.7,499
10115,2024-09-25,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,395.61,127
10116,2025-01-28,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,794.89,156
10117,2024-06-03,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,364.57,562
10118,2026-03-24,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,271.89,302
10119,2025-10-14,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,112.88,481
10120,2023-12-12,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,196.49,380
10121,2025-11-17,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,435.43,484
10122,2026-02-02,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,365.23,109
10123,2025-02-03,Replaced main battery connector due to pin corrosion and tested power draw under load.,582.06,223
10124,2026-04-08,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,201.59,443
10125,2025-09-25,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,227.86,554
10126,2025-06-26,Thermal camera sensor recalibration and firmware patch application.,584.57,211
10127,2025-11-02,Thermal camera sensor recalibration and firmware patch application.,991.62,472
10128,2025-10-27,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,709.88,357
10129,2025-12-27,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,657.01,153
10130,2024-11-11,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,632.06,306
10131,2025-03-19,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,167.46,285
10132,2024-06-02,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,218.67,549
10133,2024-03-09,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,494.04,387
10134,2024-12-11,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,646.4,232
10135,2025-12-04,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,264.57,231
10136,2024-05-21,Installed new vibration dampening mounts on the camera gimbal payload.,110.01,203
10137,2025-09-07,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,834.63,422
10138,2023-12-20,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,411.88,461
10139,2025-09-20,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,657.27,202
10140,2025-08-10,Replaced main battery connector due to pin corrosion and tested power draw under load.,754.91,485
10141,2024-12-12,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,578.51,288
10142,2026-01-05,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,665.44,233
10143,2026-01-15,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,768.37,196
10144,2025-03-31,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,355.0,234
10145,2025-05-10,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,420.64,112
10146,2025-04-04,Replaced main battery connector due to pin corrosion and tested power draw under load.,959.17,138
10147,2024-06-21,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,234.04,508
10148,2026-01-15,Installed new vibration dampening mounts on the camera gimbal payload.,969.37,472
10149,2025-04-07,Replaced main battery connector due to pin corrosion and tested power draw under load.,651.09,578
10150,2025-12-03,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,373.43,316
10151,2025-04-19,Replaced main battery connector due to pin corrosion and tested power draw under load.,130.67,555
10152,2025-09-07,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,458.52,135
10153,2025-10-24,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,812.64,102
10154,2025-07-22,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,877.65,415
10155,2026-02-23,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,885.74,157
10156,2025-10-22,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,350.8,600
10157,2025-05-12,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,957.2,549
10158,2025-11-16,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,195.24,253
10159,2025-09-29,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,954.3,480
10160,2025-06-18,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,850.7,173
10161,2025-01-28,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,883.2,192
10162,2026-04-07,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,147.64,226
10163,2024-08-17,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,713.19,162
10164,2026-03-17,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,614.62,206
10165,2025-11-06,Installed new vibration dampening mounts on the camera gimbal payload.,374.39,265
10166,2025-12-14,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,342.3,190
10167,2025-09-08,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,125.88,254
10168,2026-02-14,Replaced main battery connector due to pin corrosion and tested power draw under load.,448.62,253
10169,2026-03-30,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,496.18,1
10170,2026-01-08,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,416.2,430
10171,2025-05-16,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,942.97,391
10172,2025-02-10,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,261.19,331
10173,2025-11-24,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,913.3,544
10174,2025-11-05,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,431.18,405
10175,2024-12-06,Replaced main battery connector due to pin corrosion and tested power draw under load.,245.04,380
10176,2026-01-15,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,820.64,394
10177,2026-01-13,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,667.71,185
10178,2026-01-13,Thermal camera sensor recalibration and firmware patch application.,520.75,227
10179,2025-11-19,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,756.72,278
10180,2025-08-12,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,293.34,174
10181,2025-09-26,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,971.55,344
10182,2025-03-11,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,689.68,443
10183,2025-12-15,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,814.17,459
10184,2026-02-28,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,622.14,104
10185,2026-02-21,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,789.26,116
10186,2025-10-21,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,350.32,172
10187,2025-06-29,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,723.78,270
10188,2026-02-13,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,180.83,398
10189,2025-07-26,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,616.53,445
10190,2026-04-08,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,968.78,180
10191,2025-06-04,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,334.58,573
10192,2025-02-03,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,602.45,214
10193,2026-04-05,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,870.4,378
10194,2025-03-13,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,315.89,295
10195,2025-12-11,Replaced main battery connector due to pin corrosion and tested power draw under load.,329.44,242
10196,2026-03-31,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,561.2,347
10197,2025-12-18,Installed new vibration dampening mounts on the camera gimbal payload.,628.68,577
10198,2025-08-21,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,223.62,335
10199,2026-02-22,Replaced main battery connector due to pin corrosion and tested power draw under load.,956.83,144
10200,2025-07-05,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,963.73,308
10201,2026-02-09,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,147.72,505
10202,2025-03-29,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,484.68,177
10203,2026-01-10,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,286.15,131
10204,2025-10-20,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,630.18,430
10205,2026-04-01,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,911.61,285
10206,2024-12-22,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,739.87,181
10207,2024-10-02,Thermal camera sensor recalibration and firmware patch application.,887.43,473
10208,2025-02-25,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,491.01,507
10209,2025-01-29,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,361.25,214
10210,2025-10-18,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,265.34,573
10211,2024-12-20,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,263.86,325
10212,2025-08-13,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,252.24,428
10213,2026-03-03,Thermal camera sensor recalibration and firmware patch application.,361.84,505
10214,2023-09-16,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,206.86,113
10215,2025-05-05,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,566.91,352
10216,2025-07-11,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,574.91,440
10217,2025-11-23,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,755.4,290
10218,2025-10-29,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,181.87,104
10219,2026-02-08,Thermal camera sensor recalibration and firmware patch application.,240.54,224
10220,2025-08-16,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,362.25,551
10221,2026-02-20,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,324.38,398
10222,2025-05-29,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,984.96,158
10223,2026-03-10,Installed new vibration dampening mounts on the camera gimbal payload.,223.27,272
10224,2026-02-21,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,769.24,211
10225,2026-03-13,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,744.4,583
10226,2024-09-15,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,386.46,241
10227,2023-07-09,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,934.16,112
10228,2026-01-07,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,390.5,477
10229,2025-08-07,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,383.57,113
10230,2024-10-16,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,711.01,542
10231,2024-04-04,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,191.15,562
10232,2025-09-08,Replaced main battery connector due to pin corrosion and tested power draw under load.,725.79,462
10233,2026-01-12,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,791.21,115
10234,2025-10-10,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,677.36,336
10235,2026-03-24,Replaced main battery connector due to pin corrosion and tested power draw under load.,995.9,437
10236,2026-03-28,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,194.52,148
10237,2026-04-07,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,112.7,230
10238,2024-12-20,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,424.96,254
10239,2024-05-18,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,377.01,461
10240,2023-12-27,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,232.8,542
10241,2024-04-28,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,605.16,141
10242,2025-06-12,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,461.74,549
10243,2024-10-09,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,201.17,307
10244,2026-03-23,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,680.14,209
10245,2026-03-08,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,956.83,366
10246,2024-08-27,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,908.16,323
10247,2025-04-24,Installed new vibration dampening mounts on the camera gimbal payload.,836.61,160
10248,2025-04-26,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,139.88,223
10249,2025-01-24,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,174.43,541
10250,2026-02-10,Installed new vibration dampening mounts on the camera gimbal payload.,650.72,561
10251,2026-03-27,Thermal camera sensor recalibration and firmware patch application.,168.33,357
10252,2023-11-02,Replaced main battery connector due to pin corrosion and tested power draw under load.,889.1,163
10253,2026-04-10,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,681.95,242
10254,2026-01-26,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,644.46,269
10255,2025-04-22,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,976.0,233
10256,2026-03-10,Installed new vibration dampening mounts on the camera gimbal payload.,327.6,303
10257,2026-04-03,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,416.32,594
10258,2025-12-21,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,721.23,297
10259,2025-10-20,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,960.59,171
10260,2025-12-14,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,427.29,300
10261,2025-05-17,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,914.56,343
10262,2025-03-24,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,392.25,211
10263,2025-07-03,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,862.16,414
10264,2024-09-10,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,726.12,215
10265,2025-12-21,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,977.52,336
10266,2024-11-11,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,389.89,270
10267,2026-01-05,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,365.22,153
10268,2026-01-22,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,609.74,131
10269,2024-12-27,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,796.12,274
10270,2026-01-15,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,108.45,315
10271,2025-03-12,Replaced main battery connector due to pin corrosion and tested power draw under load.,692.54,471
10272,2023-12-01,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,389.74,504
10273,2024-09-25,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,621.68,550
10274,2024-01-07,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,866.98,446
10275,2025-12-29,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,525.78,101
10276,2025-05-27,Replaced main battery connector due to pin corrosion and tested power draw under load.,465.41,242
10277,2025-06-17,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,397.94,370
10278,2023-07-30,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,520.56,467
10279,2026-04-10,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,616.26,390
10280,2024-09-01,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,587.54,177
10281,2026-01-20,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,723.08,330
10282,2025-09-25,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,237.0,355
10283,2025-07-03,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,314.91,149
10284,2025-12-16,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,323.1,110
10285,2025-06-09,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,377.19,420
10286,2026-01-05,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,593.98,280
10287,2025-10-16,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,905.86,195
10288,2025-12-04,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,847.04,507
10289,2023-10-04,Thermal camera sensor recalibration and firmware patch application.,342.49,264
10290,2024-09-30,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,161.93,217
10291,2026-04-08,Thermal camera sensor recalibration and firmware patch application.,729.61,348
10292,2025-05-11,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,381.34,181
10293,2024-10-12,Installed new vibration dampening mounts on the camera gimbal payload.,804.88,408
10294,2026-03-21,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,390.64,224
